"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-07-26 17:12:19 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)"
2016,Paraguay,"Syrian Arab Rep.",51,21
2016,Qatar,Iraq,136,109
2016,Qatar,"Syrian Arab Rep.",32,*
2016,Romania,Iraq,426,12
2016,Romania,"Syrian Arab Rep.",1775,21
2016,"Russian Federation",Iraq,23,30
2016,"Russian Federation","Syrian Arab Rep.",1319,383
2016,"Saudi Arabia",Iraq,31,23
2016,"Saudi Arabia","Syrian Arab Rep.",19,10
2016,Sudan,Iraq,16,23
2016,Sudan,"Syrian Arab Rep.",6997,501
2016,Senegal,Iraq,0,*
2016,Senegal,"Syrian Arab Rep.",0,21
2016,"El Salvador",Iraq,5,0
2016,"El Salvador","Syrian Arab Rep.",5,0
2016,Somalia,Iraq,*,0
2016,Somalia,"Syrian Arab Rep.",145,*
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Iraq,1353,*
2016,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",747,0
2016,"South Sudan","Syrian Arab Rep.",*,*
2016,Slovakia,Iraq,262,0
2016,Slovakia,"Syrian Arab Rep.",54,0
2016,Slovenia,Iraq,34,13
2016,Slovenia,"Syrian Arab Rep.",118,41
2016,Sweden,Iraq,21693,14051
2016,Sweden,"Syrian Arab Rep.",96914,7085
2016,"Syrian Arab Rep.",Iraq,16879,10982
2016,"Syrian Arab Rep.","Syrian Arab Rep.",0,0
2016,Chad,"Syrian Arab Rep.",17,9
2016,Togo,Iraq,5,0
2016,Togo,"Syrian Arab Rep.",*,8
2016,Thailand,Iraq,220,82
2016,Thailand,"Syrian Arab Rep.",268,43
2016,Tajikistan,Iraq,*,0
2016,"Trinidad and Tobago","Syrian Arab Rep.",31,35
2016,Tunisia,Iraq,18,11
2016,Tunisia,"Syrian Arab Rep.",504,0
2016,Turkey,Iraq,30398,99678
2016,Turkey,"Syrian Arab Rep.",2823987,180
2016,Uganda,Iraq,0,*
2016,Uganda,"Syrian Arab Rep.",7,12
2016,Ukraine,Iraq,87,272
2016,Ukraine,"Syrian Arab Rep.",446,560
2016,Uruguay,Iraq,*,0
2016,Uruguay,"Syrian Arab Rep.",60,*
2016,"United States of America",Iraq,6082,3631
2016,"United States of America","Syrian Arab Rep.",6444,3364
2016,"Venezuela (Bolivarian Republic of)",Iraq,18,0
2016,"Venezuela (Bolivarian Republic of)","Syrian Arab Rep.",*,18
2016,Yemen,Iraq,3381,44
2016,Yemen,"Syrian Arab Rep.",3249,502
2016,"South Africa",Iraq,17,10
2016,"South Africa","Syrian Arab Rep.",44,49
2016,Zambia,"Syrian Arab Rep.",5,6
2016,Zimbabwe,"Syrian Arab Rep.",0,0
